信号级别,AUTOSENTCOUNT,发布内容,入库时间,自动检测消息发布状态,信号编号,同步编号,信号发布签发人,记录编号,发布时间,"发布状态(发布/取消)",AUTOSENTFLAG,信号影响区域,信号类型,记录序号,自动检测循环次数
黄色,0,"【深圳市分区暴雨橙色预警信号降级为黄色】我市东北部雨势减弱，深圳市气象台2025年09月08日05时15分将坪山区、龙岗区（坪地、龙岗、宝龙街道）和大鹏新区（葵涌街道）暴雨橙色预警信号降级为黄色，全市（不含深汕）暴雨黄色预警信号生效中，请继续防御暴雨可能引发的局部内涝、山洪等灾害。","	2025-09-08 05:16:27",0,168,AAA30mAAcAACpE6AAI,-,105157,"	2025-09-08 05:15:00",发布,0,龙岗、坪地、宝龙、坪山区、葵涌,暴雨,109715,0
橙色,0,"全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,暴雨,黄色,2025-09-08 05:15:00;南头、南山、蛇口、招商、盐田区、福永、西乡、沙井、新安、航城、福海、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾,台风,黄色,2025-09-07 23:00:00;罗湖区、西丽、沙河、粤海、桃源、福田区、松岗、石岩、新桥、燕罗、光明区、龙华区、龙岗区、坪山区,台风,蓝色,2025-09-07 09:00:00;.【深圳市分区暴雨橙色预警信号降级为黄色】我市东北部雨势减弱，深圳市气象台2025年09月08日05时15分将坪山区、龙岗区（坪地、龙岗、宝龙街道）和大鹏新区（葵涌街道）暴雨橙色预警信号降级为黄色，全市（不含深汕）暴雨黄色预警信号生效中，请继续防御暴雨可能引发的局部内涝、山洪等灾害。","	2025-09-08 05:16:27",0,169,AAA30mAAcAACpE6AAJ,-,105158,"	2025-09-08 05:15:00",取消,0,龙岗、坪地、宝龙、坪山区、葵涌,暴雨,109716,0
橙色,0,"【深圳市扩展分区暴雨黄色预警信号至全市并升级分区暴雨橙色预警信号】过去3小时我市东北部已出现强降雨，预计未来3小时我市大部将出现30-50毫米降水，深圳市气象台2025年09月08日00时40分将分区暴雨黄色预警信号扩展至全市，并在坪山区、龙岗区（坪地、龙岗、宝龙街道）和大鹏新区（葵涌街道）发布暴雨橙色预警信号，全市处于暴雨戒备状态。上述区域存在山洪风险，请注意防御暴雨可能引发的局部内涝、山洪等灾害。","	2025-09-08 00:43:42",0,169,AAA30mAAcAACpE6AAF,-,105154,"	2025-09-08 00:40:00",发布,0,龙岗、坪地、宝龙、坪山区、葵涌,暴雨,109712,0
黄色,0,"南头、南山、蛇口、招商、盐田区、福永、西乡、沙井、新安、航城、福海、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾,台风,黄色,2025-09-07 23:00:00;罗湖区、西丽、沙河、粤海、桃源、福田区、松岗、石岩、新桥、燕罗、光明区、龙华区、龙岗区、坪山区,台风,蓝色,2025-09-07 09:00:00;龙岗、坪地、宝龙、坪山区、葵涌,暴雨,橙色,2025-09-08 00:40:00;罗湖区、南山区、福田区、盐田区、宝安区、光明区、龙华区、横岗、布吉、龙城、坂田、南湾、平湖、吉华、园山、南澳、大鹏、珠江口、深圳湾、大鹏湾、大亚湾,暴雨,黄色,2025-09-08 00:40:00;.【深圳市扩展分区暴雨黄色预警信号至全市并升级分区暴雨橙色预警信号】过去3小时我市东北部已出现强降雨，预计未来3小时我市大部将出现30-50毫米降水，深圳市气象台2025年09月08日00时40分将分区暴雨黄色预警信号扩展至全市，并在坪山区、龙岗区（坪地、龙岗、宝龙街道）和大鹏新区（葵涌街道）发布暴雨橙色预警信号，全市处于暴雨戒备状态。上述区域存在山洪风险，请注意防御暴雨可能引发的局部内涝、山洪等灾害。","	2025-09-08 00:43:42",0,168,AAA30mAAcAACpE6AAH,-,105156,"	2025-09-08 00:40:00",取消,0,龙岗、坪地、宝龙、坪山区、葵涌,暴雨,109714,0
黄色,0,"【深圳市扩展分区暴雨黄色预警信号至全市并升级分区暴雨橙色预警信号】过去3小时我市东北部已出现强降雨，预计未来3小时我市大部将出现30-50毫米降水，深圳市气象台2025年09月08日00时40分将分区暴雨黄色预警信号扩展至全市，并在坪山区、龙岗区（坪地、龙岗、宝龙街道）和大鹏新区（葵涌街道）发布暴雨橙色预警信号，全市处于暴雨戒备状态。上述区域存在山洪风险，请注意防御暴雨可能引发的局部内涝、山洪等灾害。","	2025-09-08 00:43:42",0,168,AAA30mAAcAACpE6AAG,-,105155,"	2025-09-08 00:40:00",发布,0,"罗湖区、南山区、福田区、盐田区、宝安区、光明区、龙华区、横岗、布吉、龙城、坂田、南湾、平湖、吉华、园山、珠江口、深圳湾",暴雨,109713,0
蓝色,0,"龙岗、坪地、宝龙、坪山区、大鹏新区、大鹏湾、大亚湾,暴雨,黄色,2025-09-07 22:15:00;罗湖区、西丽、沙河、粤海、桃源、福田区、松岗、石岩、新桥、燕罗、光明区、龙华区、龙岗区、坪山区,台风,蓝色,2025-09-07 09:00:00;南头、南山、蛇口、招商、盐田区、福永、西乡、沙井、新安、航城、福海、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾,台风,黄色,2025-09-07 23:00:00;.【深圳市分区台风蓝色预警信号升级为黄色】预计受台风“塔巴”影响，7日后半夜至8日我市风雨逐渐明显，累计可达暴雨局地大暴雨；最大阵风沿海、海区9-10级，高地11-12级。经综合研判风雨影响，深圳市气象台2025年09月07日23时将东、西部海区、大鹏、盐田、南山区（南山、南头、蛇口、招商街道）和宝安区（新安、西乡、福永、沙井、航城、福海街道）台风蓝色预警信号升级为黄色，信号将持续到8日下午，请注意做好台风和暴雨的防范工作。根据《深圳市气象灾害预警信号发布规定》和教育局通知，9月8日全市（不含深汕）中小学、幼儿园全日停课，已到校的寄宿制学生服从学校安排，全市停止涉青少年的培训等活动。","	2025-09-07 22:59:20",0,167,AAA30mAAcAACpE6AAE,-,105153,"	2025-09-07 23:00:00",取消,0,"南头、南山、蛇口、招商、盐田区、福永、西乡、沙井、新安、航城、福海、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾",台风,109711,0
黄色,0,"【深圳市分区台风蓝色预警信号升级为黄色】预计受台风“塔巴”影响，7日后半夜至8日我市风雨逐渐明显，累计可达暴雨局地大暴雨；最大阵风沿海、海区9-10级，高地11-12级。经综合研判风雨影响，深圳市气象台2025年09月07日23时将东、西部海区、大鹏、盐田、南山区（南山、南头、蛇口、招商街道）和宝安区（新安、西乡、福永、沙井、航城、福海街道）台风蓝色预警信号升级为黄色，信号将持续到8日下午，请注意做好台风和暴雨的防范工作。根据《深圳市气象灾害预警信号发布规定》和教育局通知，9月8日全市（不含深汕）中小学、幼儿园全日停课，已到校的寄宿制学生服从学校安排，全市停止涉青少年的培训等活动。","	2025-09-07 22:59:20",0,168,AAA30mAAcAACpE6AAD,-,105152,"	2025-09-07 23:00:00",发布,0,"南头、南山、蛇口、招商、盐田区、福永、西乡、沙井、新安、航城、福海、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾",台风,109710,0
黄色,0,"【深圳市分区暴雨黄色预警信号】预计坪山区、大鹏新区、大鹏湾、大亚湾和龙岗区（龙岗、坪地、宝龙街道）未来3到6小时将出现30-50毫米降水，深圳市气象台2025年09月07日22时15分在上述区域发布暴雨黄色预警信号，全市进入暴雨戒备状态。上述区域存在山洪风险，请注意防御暴雨可能引发的局部内涝、山洪等灾害。","	2025-09-07 22:15:30",0,168,AAA30mAAcAACpE6AAC,-,105151,"	2025-09-07 22:15:00",发布,0,"龙岗、坪地、宝龙、坪山区、大鹏新区、大鹏湾、大亚湾",暴雨,109709,0
黄色,0,"全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,蓝色,2025-09-07 09:00:00;.【深圳市解除分区暴雨黄色和雷电预警信号】目前降雨暂缓，深圳市气象台2025年09月07日19时00分解除全市雷电和盐田区、坪山区、大鹏新区、大鹏湾、大亚湾和龙岗区（坪地、龙城、龙岗、横岗、宝龙、园山街道）暴雨黄色预警信号，市民仍需注意远离河道和危险边坡等。","	2025-09-07 19:03:11",0,169,AAA30mAAcAACpE6AAB,-,105150,"	2025-09-07 19:00:00",取消,0,"盐田区、横岗、龙岗、坪地、龙城、园山、宝龙、坪山区、大鹏新区、大鹏湾、大亚湾",暴雨,109708,0
-,0,"全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,蓝色,2025-09-07 09:00:00;.【深圳市解除分区暴雨黄色和雷电预警信号】目前降雨暂缓，深圳市气象台2025年09月07日19时00分解除全市雷电和盐田区、坪山区、大鹏新区、大鹏湾、大亚湾和龙岗区（坪地、龙城、龙岗、横岗、宝龙、园山街道）暴雨黄色预警信号，市民仍需注意远离河道和危险边坡等。","	2025-09-07 19:03:11",0,168,AAA30mAAcAACpE6AAA,-,105149,"	2025-09-07 19:00:00",取消,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,雷电,109707,0
黄色,0,"【深圳市分区暴雨黄色预警信号】预计盐田区、坪山区、大鹏新区、大鹏湾、大亚湾和龙岗区（横岗、龙岗、坪地、龙城、园山、宝龙街道）未来3-6小时将出现30-50毫米降水，深圳市气象台2025年09月07日15时45分在上述区域发布暴雨黄色预警信号，全市进入暴雨戒备状态。上述区域存在山洪风险，请注意防御暴雨可能引发的局部内涝、山洪等灾害。","	2025-09-07 15:48:21",0,169,AAA30mAAcAACpEuAAH,-,105148,"	2025-09-07 15:45:00",发布,0,"盐田区、横岗、龙岗、坪地、龙城、园山、宝龙、坪山区、大鹏新区、大鹏湾、大亚湾",暴雨,109706,0
-,0,"【深圳市雷电预警信号】深圳市气象台于2025年09月07日12时10分发布全市雷电预警信号，预计全市将受雷电影响。市民停留在安全地方。","	2025-09-07 12:09:47",0,168,AAA30mAAcAACpEsAAM,-,105147,"	2025-09-07 12:10:00",发布,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,雷电,109705,0
黄色,0,"全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,蓝色,2025-09-07 09:00:00;.【深圳市解除高温黄色预警信号】预计今天我市高温天气有所缓解，深圳市气象台2025年09月07日09时20分解除全市陆地高温黄色预警信号。","	2025-09-07 09:23:31",0,165,AAA30mAAcAACpEsAAL,-,105146,"	2025-09-07 09:20:00",取消,0,全市陆地,高温,109704,0
白色,0,"全市陆地,高温,黄色,2025-09-01 10:30:00;全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,蓝色,2025-09-07 09:00:00;.【深圳市台风白色预警信号升级为蓝色】预计受“塔巴”影响，我市偏东风逐渐加大，深圳市气象台2025年09月07日09时00分将全市台风白色预警信号升级为蓝色。","	2025-09-07 09:05:58",0,166,AAA30mAAcAACpEsAAK,-,105145,"	2025-09-07 09:00:00",取消,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109703,0
蓝色,0,"【深圳市台风白色预警信号升级为蓝色】预计受“塔巴”影响，我市偏东风逐渐加大，深圳市气象台2025年09月07日09时00分将全市台风白色预警信号升级为蓝色。","	2025-09-07 09:05:58",0,167,AAA30mAAcAACpEoAAK,-,105144,"	2025-09-07 09:00:00",发布,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109702,0
白色,0,"【深圳市台风白色预警信号】深圳市气象台2025年09月06日17时00分发布全市台风白色预警信号，预计南海热带低压将加强为今年第16号台风，趋向广东中西部沿海，受其影响，7日夜间至9日我市降雨频密，有一次明显风雨过程，请注意做好防御。","	2025-09-06 17:00:24",0,166,AAA30mAAcAACpENAAB,-,105143,"	2025-09-06 17:00:00",发布,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109701,0
-,0,"全市陆地,高温,黄色,2025-09-01 10:30:00;.【深圳市解除分区雷电预警信号】雷暴云团已减弱，深圳市气象台2025年09月05日17时18分解除宝安区、光明区、龙华区、珠江口、南山区（西丽、桃源街道）和龙岗区（坂田、吉华街道）雷电预警信号。","	2025-09-05 17:20:05",0,166,AAA30mABCAACLd3AAC,-,105142,"	2025-09-05 17:18:00",取消,0,"西丽、桃源、宝安区、光明区、龙华区、坂田、吉华、珠江口",雷电,109692,0
-,0,"【深圳市扩展分区雷电预警信号】深圳市气象台2025年09月05日15时51分将雷电预警信号扩展至珠江口和宝安区（松岗、福永、西乡、沙井、新安、航城、福海、新桥、燕罗街道），预计2小时内上述区域将受雷电影响。市民停留在安全地方。","	2025-09-05 15:52:07",0,166,AAA30mABCAACLd3AAB,-,105141,"	2025-09-05 15:51:00",发布,0,"松岗、福永、西乡、沙井、新安、航城、福海、新桥、燕罗、珠江口",雷电,109691,0
-,0,"【深圳市分区雷电预警信号】深圳市气象台于2025年09月05日14时46分发布光明区、龙华区、南山区（西丽、桃源街道）、宝安区（石岩街道）和龙岗区（坂田、吉华街道）雷电预警信号，预计下午上述区域将受雷电影响。市民停留在安全地方。","	2025-09-05 14:47:47",0,166,AAA30mABCAACLd3AAA,-,105140,"	2025-09-05 14:46:00",发布,0,西丽、桃源、石岩、光明区、龙华区、坂田、吉华,雷电,109690,0
-,0,"全市陆地,高温,黄色,2025-09-01 10:30:00;.【深圳市解除分区雷电预警信号】雷暴云团已减弱，深圳市气象台2025年09月04日18时05分解除罗湖区、南山区、福田区、宝安区、光明区、龙华区、珠江口、深圳湾和龙岗区（平湖、南湾、坂田、布吉、横岗、吉华街道）雷电预警信号。","	2025-09-04 18:05:43",0,166,AAA30mABCAACLdgAAM,-,105139,"	2025-09-04 18:05:00",取消,0,"罗湖区、南山区、福田区、宝安区、光明区、龙华区、横岗、布吉、坂田、南湾、平湖、吉华、珠江口、深圳湾",雷电,109689,0
-,0,"【深圳市分区雷电预警信号】深圳市气象台于2025年09月04日15时30分发布罗湖区、南山区、福田区、宝安区、光明区、龙华区、珠江口、深圳湾和龙岗区（横岗、布吉、坂田、南湾、平湖、吉华街道）雷电预警信号，预计2小时内上述区域将受雷雨影响。市民停留在安全地方。","	2025-09-04 15:33:46",0,166,AAA30mABCAACLdgAAL,-,105138,"	2025-09-04 15:30:00",发布,0,"罗湖区、南山区、福田区、宝安区、光明区、龙华区、横岗、布吉、坂田、南湾、平湖、吉华、珠江口、深圳湾",雷电,109688,0
-,0,"全市陆地,高温,黄色,2025-09-01 10:30:00;.【深圳市解除分区雷电预警信号】雷暴云团已减弱，深圳市气象台2025年09月03日19时28分解除南山区、福田区、宝安区、光明区、龙华区、珠江口和深圳湾雷电预警信号。","	2025-09-03 19:29:15",0,166,AAA30mABCAACLdgAAK,-,105137,"	2025-09-03 19:28:00",取消,0,"南山区、福田区、宝安区、光明区、龙华区、珠江口、深圳湾",雷电,109687,0
黄色,0,"南山区、福田区、宝安区、光明区、龙华区、珠江口、深圳湾,雷电,,2025-09-03 14:22:00;全市陆地,高温,黄色,2025-09-01 10:30:00;.【深圳市解除分区暴雨黄色预警信号】强降雨减弱，深圳市气象台2025年09月03日15时55分解除南山区（西丽、桃源街道）、宝安区（石岩街道）、龙岗区（平湖、南湾、坂田、布吉、吉华街道）和龙华区（观湖、民治、龙华、大浪街道）暴雨黄色预警信号，市民仍需注意远离河道和危险边坡等。","	2025-09-03 15:58:16",0,167,AAA30mABCAACLdgAAJ,-,105136,"	2025-09-03 15:55:00",取消,0,"西丽、桃源、石岩、大浪、龙华、民治、观湖、布吉、坂田、南湾、平湖、吉华",暴雨,109686,0
黄色,0,"【深圳市扩展分区暴雨黄色预警信号】预计龙岗区（布吉、坂田、南湾、平湖、吉华街道）和龙华区（龙华、观湖街道）将出现30-50毫米降水，深圳市气象台2025年09月03日15时20分将分区暴雨黄色预警信号扩展至上述区域，全市处于暴雨戒备状态。上述区域存在山洪风险，请注意防御暴雨可能引发的局部内涝、山洪等灾害。","	2025-09-03 15:21:05",0,167,AAA30mABCAACLdgAAI,-,105135,"	2025-09-03 15:20:00",发布,0,龙华、观湖、布吉、坂田、南湾、平湖、吉华,暴雨,109685,0
黄色,0,"【深圳市分区暴雨黄色预警信号】预计南山区（西丽、桃源街道）、宝安区（石岩街道）和龙华区（大浪、民治街道）2小时内将出现30-50毫米降水，深圳市气象台2025年09月03日14时45分在上述区域发布暴雨黄色预警信号，全市进入暴雨戒备状态。上述区域存在山洪风险，请注意防御暴雨可能引发的局部内涝、山洪等灾害。","	2025-09-03 14:45:26",0,167,AAA30mAAcAACpEoAAJ,-,105134,"	2025-09-03 14:45:00",发布,0,西丽、桃源、石岩、大浪、民治,暴雨,109684,0
-,0,"【深圳市分区雷电预警信号】深圳市气象台于2025年09月03日14时22分发布福田区、南山区、宝安区、光明区、龙华区、珠江口和深圳湾雷电预警信号，预计上述区域将受雷电影响。市民停留在安全地方。","	2025-09-03 14:24:25",0,166,AAA30mAAcAACpEuAAG,-,105133,"	2025-09-03 14:22:00",发布,0,"南山区、福田区、宝安区、光明区、龙华区、珠江口、深圳湾",雷电,109683,0
-,0,"全市陆地,高温,黄色,2025-09-01 10:30:00;.【深圳市解除分区雷电预警信号】雷暴云团已减弱，深圳市气象台2025年09月02日15时36分解除南山区、福田区、宝安区、珠江口和深圳湾雷电预警信号。","	2025-09-02 15:37:24",0,166,AAA30mAAcAACpEoAAI,-,105132,"	2025-09-02 15:36:00",取消,0,南山区、福田区、宝安区、珠江口、深圳湾,雷电,109682,0
-,0,"【深圳市分区雷电预警信号】深圳市气象台于2025年09月02日13时21分发布南山区、福田区、宝安区、珠江口和深圳湾雷电预警信号，预计下午上述区域将受雷电影响。市民停留在安全地方。","	2025-09-02 13:22:34",0,166,AAA30mAAcAACpEoAAH,-,105131,"	2025-09-02 13:21:00",发布,0,南山区、福田区、宝安区、珠江口、深圳湾,雷电,109681,0
黄色,0,"【深圳市高温黄色预警信号】深圳市气象台2025年09月01日10时30分发布全市陆地高温黄色预警信号，预计今日我市最高气温将升至35℃以上，信号可能持续3-4天。注意防暑降温，避免长时间户外活动。","	2025-09-01 10:29:03",0,165,AAA30mABCAACLd5AAP,-,105130,"	2025-09-01 10:30:00",发布,0,全市陆地,高温,109661,0
黄色,0,"【深圳市解除分区雷雨大风黄色预警信号】风力逐渐减弱，深圳市气象台2025年08月30日14时45分解除罗湖区、南山区、福田区、盐田区、大鹏新区、珠江口、深圳湾、大鹏湾和大亚湾雷雨大风黄色预警信号。","	2025-08-30 14:47:21",0,163,AAA30mAAcAACpEoAAG,-,105129,"	2025-08-30 14:45:00",取消,0,"罗湖区、南山区、福田区、盐田区、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾",雷雨大风,109646,0
黄色,0,"【深圳市分区雷雨大风黄色预警信号】深圳市气象台2025年08月30日13时15分发布罗湖区、南山区、福田区、盐田区、大鹏新区、珠江口、深圳湾、大鹏湾和大亚湾雷雨大风黄色预警信号，预计未来2-3小时我市有阵雨，雨时阵风将达8级或以上，并伴有强雷电。请落实各项防风防雷电措施。","	2025-08-30 13:16:53",0,163,AAA30mAAcAACpEoAAF,-,105128,"	2025-08-30 13:15:00",发布,0,"罗湖区、南山区、福田区、盐田区、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾",雷雨大风,109645,0
蓝色,0,"【深圳市解除分区强季风蓝色预警信号】风力逐渐减弱，深圳市气象台2025年08月30日10时30分解除罗湖区、福田区、盐田区、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾和南山区（南头、南山、沙河、蛇口、招商、粤海街道）强季风蓝色预警信号。","	2025-08-30 10:30:39",0,161,AAA30mAAcAACpEoAAE,-,105127,"	2025-08-30 10:30:00",取消,0,"罗湖区、南头、南山、沙河、蛇口、招商、粤海、福田区、盐田区、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾",强季风,109644,0
蓝色,0,"【深圳市分区强季风蓝色预警信号】深圳市气象台2025年08月29日16时05分发布罗湖区、福田区、盐田区、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾和南山区（南头、南山、沙河、蛇口、招商、粤海街道）强季风蓝色预警信号，预计上述地区最大阵风可达8级或以上，信号可能从今天持续到明天。请落实各项防风措施。","	2025-08-29 16:05:43",0,161,AAA30mABCAACLdaAAJ,-,105126,"	2025-08-29 16:05:00",发布,0,"罗湖区、南头、南山、沙河、蛇口、招商、粤海、福田区、盐田区、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾",强季风,109643,0
黄色,0,"【深圳市解除高温黄色预警信号】高温天气缓解，深圳市气象台2025年08月28日11时00分解除全市陆地高温黄色预警信号。","	2025-08-28 11:00:07",0,139,AAA30mABCAACLd5AAO,-,105125,"	2025-08-28 11:00:00",取消,0,全市陆地,高温,109642,0
-,0,"全市陆地,高温,黄色,2025-08-22 09:00:00;.【深圳市解除雷电预警信号】雷暴云团已减弱，深圳市气象台2025年08月27日17时00分解除全市雷电预警信号。","	2025-08-27 17:00:38",0,140,AAA30mABCAACLd5AAN,-,105124,"	2025-08-27 17:00:00",取消,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,雷电,109641,0
黄色,0,"全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,雷电,,2025-08-27 12:53:00;全市陆地,高温,黄色,2025-08-22 09:00:00;.【深圳市解除分区雷雨大风黄色预警信号】雷暴云团移出，风力逐渐减弱，深圳市气象台2025年08月27日15时10分解除南山区、珠江口、深圳湾、宝安区（新安、西乡、石岩、航城街道）、龙岗区（龙城、龙岗、宝龙、园山街道）和光明区（光明、新湖、凤凰、玉塘街道）雷雨大风黄色预警信号。","	2025-08-27 15:12:47",0,141,AAA30mABCAACLd5AAM,-,105123,"	2025-08-27 15:10:00",取消,0,"南山区、石岩、西乡、新安、航城、光明、玉塘、新湖、凤凰、龙岗、龙城、园山、宝龙、珠江口、深圳湾",雷雨大风,109640,0
黄色,0,"【深圳市分区雷雨大风黄色预警信号】深圳市气象台2025年08月27日13时43分发布南山区、珠江口、深圳湾、宝安区（石岩、西乡、新安、航城街道）、龙岗区（龙岗、龙城、园山、宝龙街道）和光明区（光明、玉塘、新湖、凤凰街道）雷雨大风黄色预警信号，预计1-2小时内阵风达8级以上，并伴有强雷电。请落实各项防风防雷电措施。","	2025-08-27 13:44:13",0,141,AAA30mABCAACLd5AAL,-,105122,"	2025-08-27 13:43:00",发布,0,"南山区、石岩、西乡、新安、航城、光明、玉塘、新湖、凤凰、龙岗、龙城、园山、宝龙、珠江口、深圳湾",雷雨大风,109639,0
-,0,"【深圳市雷电预警信号】午后天气不稳定，深圳市气象台于2025年08月27日12时53分发布全市雷电预警信号，预计今天下午全市大部将受雷电影响。市民停留在安全地方。","	2025-08-27 12:56:18",0,140,AAA30mABCAACLd5AAK,-,105121,"	2025-08-27 12:53:00",发布,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,雷电,109638,0
黄色,0,"全市陆地,高温,黄色,2025-08-22 09:00:00;.【深圳市解除分区雷雨大风黄色和分区雷电预警信号】雷暴云团减弱，深圳市气象台2025年08月26日18时41分解除宝安区（福永、沙井、松岗、航城、福海、燕罗、新桥街道）和光明区（玉塘街道）雷雨大风黄色预警信号及南山区、宝安区、光明区、珠江口和深圳湾雷电预警信号。","	2025-08-26 18:43:21",0,141,AAA30mABCAACLdfAAD,-,105120,"	2025-08-26 18:41:00",取消,0,松岗、福永、沙井、航城、福海、新桥、燕罗、玉塘,雷雨大风,109637,0
-,0,"全市陆地,高温,黄色,2025-08-22 09:00:00;.【深圳市解除分区雷雨大风黄色和分区雷电预警信号】雷暴云团减弱，深圳市气象台2025年08月26日18时41分解除宝安区（福永、沙井、松岗、航城、福海、燕罗、新桥街道）和光明区（玉塘街道）雷雨大风黄色预警信号及南山区、宝安区、光明区、珠江口和深圳湾雷电预警信号。","	2025-08-26 18:43:21",0,140,AAA30mABCAACLdfAAC,-,105119,"	2025-08-26 18:41:00",取消,0,南山区、宝安区、光明区、珠江口、深圳湾,雷电,109636,0
黄色,0,"【深圳市分区雷雨大风黄色预警信号】受局地生成发展的雷雨云团影响，深圳市气象台2025年08月26日16时30分发布宝安区（松岗、福永、沙井、航城、福海、新桥、燕罗街道）和光明区（玉塘街道）雷雨大风黄色预警信号，预计1-2小时内阵风可达8级或以上，并伴有强雷电和局地短时强降水。请落实各项防风防雷电措施。","	2025-08-26 16:33:36",0,141,AAA30mABCAACLdfAAB,-,105118,"	2025-08-26 16:30:00",发布,0,松岗、福永、沙井、航城、福海、新桥、燕罗、玉塘,雷雨大风,109635,0
-,0,"【深圳市分区雷电预警信号】深圳市气象台于2025年08月26日16时20分发布南山区、宝安区、光明区、珠江口和深圳湾雷电预警信号，预计2小时内上述区域将受雷电影响并伴有短时雷阵雨。市民停留在安全地方。","	2025-08-26 16:21:53",0,140,AAA30mABCAACLdfAAA,-,105117,"	2025-08-26 16:20:00",发布,0,南山区、宝安区、光明区、珠江口、深圳湾,雷电,109634,0
白色,0,"全市陆地,高温,黄色,2025-08-22 09:00:00;.【深圳市解除台风白色预警信号】“剑鱼”对我市风雨影响已明显减弱，深圳市气象台2025年08月24日15时25分解除全市台风白色预警信号。","	2025-08-24 15:25:12",0,140,AAA30mABCAACLd0AAJ,-,105116,"	2025-08-24 15:25:00",取消,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109633,0
白色,0,"【深圳市台风白色预警信号】深圳市气象台2025年08月23日10时00分发布全市台风白色预警信号，预计台风“剑鱼”未来趋向海南岛南部沿海，23日夜间至25日对我市有风雨影响。","	2025-08-23 10:11:39",0,140,AAA30mABCAACLd9AAO,-,105115,"	2025-08-23 10:00:00",发布,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,台风,109632,0
黄色,0,"【深圳市高温黄色预警信号】深圳市气象台2025年08月22日09时00分在全市陆地发布高温黄色预警信号，预计22日我市大部分地区最高气温将升至35℃或以上，信号可能持续2天左右。注意防暑降温，避免长时间户外活动。","	2025-08-22 09:00:10",0,139,AAA30mAAcAACpELAAO,-,105114,"	2025-08-22 09:00:00",发布,0,全市陆地,高温,109631,0
-,0,"【深圳市解除雷电预警信号】雷暴云团已减弱，深圳市气象台2025年08月19日15时15分解除全市雷电预警信号。","	2025-08-19 15:16:01",0,122,AAA30mAAcAACpEsAAJ,-,105113,"	2025-08-19 15:15:00",取消,0,全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,雷电,109630,0
黄色,0,"全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,雷电,,2025-08-19 03:45:00;.【深圳市解除所有暴雨预警信号和分区雷雨大风黄色预警信号】雷暴云团减弱，强降雨减弱，深圳市气象台2025年08月19日14时20分解除所有暴雨预警信号和雷雨大风黄色预警信号。市民仍需注意远离河道和危险边坡等。","	2025-08-19 14:20:28",0,122,AAA30mAAcAACpEsAAG,-,105110,"	2025-08-19 14:20:00",取消,0,"罗湖区、南山区、福田区、沙头角、海山、梅沙、宝安区、光明区、龙华区、布吉、坂田、南湾、平湖、吉华、坑梓、坪山、马峦、石井、龙田、大鹏新区、珠江口、深圳湾、大鹏湾、大亚湾",暴雨,109627,0
黄色,0,"全市陆地、珠江口、深圳湾、大鹏湾、大亚湾,雷电,,2025-08-19 03:45:00;.【深圳市解除所有暴雨预警信号和分区雷雨大风黄色预警信号】雷暴云团减弱，强降雨减弱，深圳市气象台2025年08月19日14时20分解除所有暴雨预警信号和雷雨大风黄色预警信号。市民仍需注意远离河道和危险边坡等。","	2025-08-19 14:20:28",0,124,AAA30mAAcAACpEsAAI,-,105112,"	2025-08-19 14:20:00",取消,0,"罗湖区、盐田区、龙岗区、坪山区、大鹏新区、大鹏湾、大亚湾",雷雨大风,109629,0
